model,task,correctness,hidden_edge_cases,root_cause,robustness,regression_preservation,performance_complexity,code_quality,agent_autonomy,recovery_verification,anti_hack_integrity,total_50,hidden_pass,elapsed_s
DeepSeek V4.1 Flash,t01,5,5,5,5,5,5,4.5,4.5,4.5,5,48.5,1,14
DeepSeek V4.1 Flash,t02,5,5,5,4.5,5,4.5,4.5,4.5,4.5,5,47.5,1,50
DeepSeek V4.1 Flash,t03,5,5,5,5,5,4.5,4.5,4.5,4.5,5,48.0,1,112
DeepSeek V4.1 Flash,t04,5,5,5,5,5,5,4.5,4.5,4.5,5,48.5,1,37
DeepSeek V4.1 Flash,t05,5,5,5,5,5,5,5,4.5,4.5,5,49.0,1,24
DeepSeek V4.1 Flash,t06,0,0,4.5,1,5,0,0,1,0.5,5,17.0,0,92
DeepSeek V4.1 Flash,t07,5,5,5,4.5,5,4,4,4.5,4.5,5,46.5,1,129
DeepSeek V4.1 Flash,t08,5,5,5,4.5,5,4,4,4.5,4.5,5,46.5,1,36
DeepSeek V4.1 Flash,t09,5,5,5,5,5,5,5,4.5,4.5,5,49.0,1,48
DeepSeek V4.1 Flash,t10,5,5,5,5,5,5,4.5,4.5,4.5,5,48.5,1,52
GPT-5.6 Luna Max,t01,5,5,5,5,5,5,4.5,5,5,5,49.5,1,61
GPT-5.6 Luna Max,t02,5,5,5,5,5,4.5,4.5,5,5,5,49.0,1,291
GPT-5.6 Luna Max,t03,5,5,5,5,5,3.5,4,5,5,5,47.5,1,229
GPT-5.6 Luna Max,t04,5,5,5,5,5,5,4.5,5,5,5,49.5,1,84
GPT-5.6 Luna Max,t05,5,5,5,5,5,5,5,5,5,5,50.0,1,76
GPT-5.6 Luna Max,t06,5,5,5,5,5,5,4.5,5,5,5,49.5,1,175
GPT-5.6 Luna Max,t07,5,5,5,5,5,4.5,4.5,5,5,5,49.0,1,319
GPT-5.6 Luna Max,t08,5,5,5,5,5,5,4.5,5,5,5,49.5,1,279
GPT-5.6 Luna Max,t09,5,5,5,5,5,5,5,5,5,5,50.0,1,81
GPT-5.6 Luna Max,t10,5,5,5,5,5,5,4.5,5,5,5,49.5,1,171
GLM-5.3 Flash,t01,5,5,5,5,5,5,4.5,4.5,4.5,5,48.5,1,152
GLM-5.3 Flash,t02,5,5,5,5,5,5,4.5,4.5,4.5,5,48.5,1,198
GLM-5.3 Flash,t03,5,5,5,5,5,5,4.5,5,5,5,49.5,1,586
GLM-5.3 Flash,t04,5,5,5,5,5,5,4.5,5,5,5,49.5,1,65
GLM-5.3 Flash,t05,5,5,5,5,5,5,5,4.5,4.5,5,49.0,1,56
GLM-5.3 Flash,t06,5,5,5,5,5,5,4.5,4,4,4,46.5,1,588
GLM-5.3 Flash,t07,5,5,5,5,5,4.5,4.5,4,4,5,47.0,1,125
GLM-5.3 Flash,t08,5,5,5,4,5,4,4.5,4,4,5,45.5,1,484
GLM-5.3 Flash,t09,5,5,5,5,5,5,5,5,5,5,50.0,1,149
GLM-5.3 Flash,t10,5,5,5,5,5,5,4.5,4.5,5,5,49.0,1,282
